,DATE,TIME,CO_GT,PT08_S1_CO,NMHC_GT,C6H6_GT,PT08_S2_NMHC,NOX_GT,PT08_S3_NOX,NO2_GT,PT08_S4_NO2,PT08_S5_O3,T,RH,AH,MONTH,HOUR
0,2004-03-10,18.00.00,2.6,1360.0,150.0,11.9,1046.0,166.0,1056.0,113.0,1692.0,1268.0,13.6,48.9,0.7578,3,18
1,2004-03-10,19.00.00,2.0,1292.0,112.0,9.4,955.0,103.0,1174.0,92.0,1559.0,972.0,13.3,47.7,0.7255,3,19
2,2004-03-10,20.00.00,2.2,1402.0,88.0,9.0,939.0,131.0,1140.0,114.0,1555.0,1074.0,11.9,54.0,0.7502,3,20
3,2004-03-10,21.00.00,2.2,1376.0,80.0,9.2,948.0,172.0,1092.0,122.0,1584.0,1203.0,11.0,60.0,0.7867,3,21
4,2004-03-10,22.00.00,1.6,1272.0,51.0,6.5,836.0,131.0,1205.0,116.0,1490.0,1110.0,11.2,59.6,0.7888,3,22
5,2004-03-10,23.00.00,1.2,1197.0,38.0,4.7,750.0,89.0,1337.0,96.0,1393.0,949.0,11.2,59.2,0.7848,3,23
6,2004-03-11,00.00.00,1.2,1185.0,31.0,3.6,690.0,62.0,1462.0,77.0,1333.0,733.0,11.3,56.8,0.7603,3,0
7,2004-03-11,01.00.00,1.0,1136.0,31.0,3.3,672.0,62.0,1453.0,76.0,1333.0,730.0,10.7,60.0,0.7702,3,1
8,2004-03-11,02.00.00,0.9,1094.0,24.0,2.3,609.0,45.0,1579.0,60.0,1276.0,620.0,10.7,59.7,0.7648,3,2
10,2004-03-11,04.00.00,-200.0,1011.0,14.0,1.3,527.0,21.0,1818.0,34.0,1197.0,445.0,10.1,60.5,0.7465,3,4
11,2004-03-11,05.00.00,0.7,1066.0,8.0,1.1,512.0,16.0,1918.0,28.0,1182.0,422.0,11.0,56.2,0.7366,3,5
12,2004-03-11,06.00.00,0.7,1052.0,16.0,1.6,553.0,34.0,1738.0,48.0,1221.0,472.0,10.5,58.1,0.7353,3,6
13,2004-03-11,07.00.00,1.1,1144.0,29.0,3.2,667.0,98.0,1490.0,82.0,1339.0,730.0,10.2,59.6,0.7417,3,7
14,2004-03-11,08.00.00,2.0,1333.0,64.0,8.0,900.0,174.0,1136.0,112.0,1517.0,1102.0,10.8,57.4,0.7408,3,8
15,2004-03-11,09.00.00,2.2,1351.0,87.0,9.5,960.0,129.0,1079.0,101.0,1583.0,1028.0,10.5,60.6,0.7691,3,9
16,2004-03-11,10.00.00,1.7,1233.0,77.0,6.3,827.0,112.0,1218.0,98.0,1446.0,860.0,10.8,58.4,0.7552,3,10
17,2004-03-11,11.00.00,1.5,1179.0,43.0,5.0,762.0,95.0,1328.0,92.0,1362.0,671.0,10.5,57.9,0.7352,3,11
18,2004-03-11,12.00.00,1.6,1236.0,61.0,5.2,774.0,104.0,1301.0,95.0,1401.0,664.0,9.5,66.8,0.7951,3,12
19,2004-03-11,13.00.00,1.9,1286.0,63.0,7.3,869.0,146.0,1162.0,112.0,1537.0,799.0,8.3,76.4,0.8393,3,13
20,2004-03-11,14.00.00,2.9,1371.0,164.0,11.5,1034.0,207.0,983.0,128.0,1730.0,1037.0,8.0,81.1,0.8736,3,14
21,2004-03-11,15.00.00,2.2,1310.0,79.0,8.8,933.0,184.0,1082.0,126.0,1647.0,946.0,8.3,79.8,0.8778,3,15
22,2004-03-11,16.00.00,2.2,1292.0,95.0,8.3,912.0,193.0,1103.0,131.0,1591.0,957.0,9.7,71.2,0.8569,3,16
23,2004-03-11,17.00.00,2.9,1383.0,150.0,11.2,1020.0,243.0,1008.0,135.0,1719.0,1104.0,9.8,67.6,0.8185,3,17
24,2004-03-11,18.00.00,4.8,1581.0,307.0,20.8,1319.0,281.0,799.0,151.0,2083.0,1409.0,10.3,64.2,0.8065,3,18
25,2004-03-11,19.00.00,6.9,1776.0,461.0,27.4,1488.0,383.0,702.0,172.0,2333.0,1704.0,9.7,69.3,0.8319,3,19
26,2004-03-11,20.00.00,6.1,1640.0,401.0,24.0,1404.0,351.0,743.0,165.0,2191.0,1654.0,9.6,67.8,0.8133,3,20
27,2004-03-11,21.00.00,3.9,1313.0,197.0,12.8,1076.0,240.0,957.0,136.0,1707.0,1285.0,9.1,64.0,0.7419,3,21
28,2004-03-11,22.00.00,1.5,965.0,61.0,4.7,749.0,94.0,1325.0,85.0,1333.0,821.0,8.2,63.4,0.6905,3,22
29,2004-03-11,23.00.00,1.0,913.0,26.0,2.6,629.0,47.0,1565.0,53.0,1252.0,552.0,8.2,60.8,0.6657,3,23
30,2004-03-12,00.00.00,1.7,1080.0,55.0,5.9,805.0,122.0,1254.0,97.0,1375.0,816.0,8.3,58.5,0.6438,3,0
31,2004-03-12,01.00.00,1.9,1044.0,53.0,6.4,829.0,133.0,1247.0,110.0,1378.0,832.0,7.7,59.7,0.6308,3,1
32,2004-03-12,02.00.00,1.4,988.0,40.0,4.1,718.0,82.0,1396.0,91.0,1304.0,692.0,7.1,61.8,0.6276,3,2
34,2004-03-12,04.00.00,-200.0,831.0,10.0,1.1,506.0,21.0,1893.0,32.0,1134.0,384.0,6.1,65.9,0.6248,3,4
35,2004-03-12,05.00.00,0.6,847.0,7.0,1.0,501.0,30.0,1895.0,44.0,1155.0,394.0,6.3,65.0,0.6233,3,5
36,2004-03-12,06.00.00,0.8,927.0,17.0,1.8,571.0,56.0,1685.0,71.0,1223.0,487.0,6.8,62.9,0.6234,3,6
37,2004-03-12,07.00.00,1.4,1091.0,33.0,4.4,730.0,109.0,1387.0,104.0,1361.0,748.0,6.4,65.1,0.6316,3,7
38,2004-03-12,08.00.00,4.4,1587.0,202.0,17.9,1236.0,307.0,897.0,141.0,1900.0,1400.0,7.3,63.1,0.6499,3,8
40,2004-03-12,10.00.00,3.1,1350.0,208.0,14.0,1118.0,187.0,912.0,122.0,1712.0,1237.0,13.2,41.7,0.632,3,10
41,2004-03-12,11.00.00,2.7,1263.0,166.0,11.6,1037.0,216.0,969.0,143.0,1598.0,1167.0,14.3,38.4,0.6243,3,11
42,2004-03-12,12.00.00,2.1,1206.0,114.0,10.2,986.0,143.0,1035.0,113.0,1537.0,959.0,15.0,36.5,0.6195,3,12
43,2004-03-12,13.00.00,2.5,1252.0,140.0,11.0,1016.0,160.0,1008.0,116.0,1593.0,983.0,16.1,34.5,0.6262,3,13
44,2004-03-12,14.00.00,2.7,1287.0,169.0,12.8,1078.0,163.0,949.0,123.0,1660.0,1061.0,16.3,35.7,0.656,3,14
45,2004-03-12,15.00.00,2.9,1353.0,185.0,14.2,1122.0,190.0,922.0,126.0,1740.0,1139.0,15.8,37.0,0.661,3,15
46,2004-03-12,16.00.00,2.8,1309.0,165.0,12.7,1073.0,178.0,954.0,120.0,1657.0,1112.0,15.9,37.2,0.6657,3,16
47,2004-03-12,17.00.00,2.4,1274.0,133.0,11.7,1041.0,150.0,1006.0,119.0,1610.0,994.0,16.9,34.3,0.6549,3,17
48,2004-03-12,18.00.00,3.9,1510.0,233.0,19.3,1277.0,206.0,812.0,149.0,1910.0,1410.0,15.1,39.6,0.6766,3,18
49,2004-03-12,19.00.00,3.7,1525.0,242.0,18.2,1246.0,202.0,821.0,145.0,1847.0,1448.0,14.4,43.4,0.7084,3,19
50,2004-03-12,20.00.00,6.6,1843.0,488.0,32.6,1610.0,340.0,624.0,170.0,2390.0,1887.0,12.9,50.5,0.7478,3,20
51,2004-03-12,21.00.00,4.4,1598.0,333.0,20.1,1299.0,274.0,752.0,149.0,1941.0,1627.0,12.1,53.3,0.7536,3,21
52,2004-03-12,22.00.00,3.5,1484.0,215.0,14.3,1127.0,253.0,839.0,139.0,1723.0,1491.0,11.0,59.1,0.774,3,22
53,2004-03-12,23.00.00,5.4,1677.0,367.0,21.8,1346.0,300.0,741.0,134.0,2062.0,1657.0,9.7,64.6,0.7771,3,23
54,2004-03-13,00.00.00,2.7,1280.0,122.0,9.6,964.0,193.0,963.0,113.0,1544.0,1285.0,9.5,64.1,0.7597,3,0
55,2004-03-13,01.00.00,1.9,1196.0,67.0,7.4,873.0,139.0,1071.0,97.0,1463.0,1144.0,9.1,63.9,0.7423,3,1
56,2004-03-13,02.00.00,1.6,1184.0,43.0,5.4,782.0,83.0,1176.0,82.0,1365.0,1043.0,8.8,63.9,0.7256,3,2
58,2004-03-13,04.00.00,-200.0,1147.0,56.0,6.2,821.0,109.0,1132.0,83.0,1412.0,992.0,7.0,71.1,0.7158,3,4
59,2004-03-13,05.00.00,1.0,978.0,30.0,2.6,625.0,62.0,1420.0,65.0,1274.0,819.0,8.3,63.6,0.6982,3,5
60,2004-03-13,06.00.00,1.2,1100.0,27.0,2.9,646.0,53.0,1406.0,60.0,1268.0,835.0,7.2,67.5,0.6887,3,6
61,2004-03-13,07.00.00,1.5,1112.0,47.0,5.1,770.0,139.0,1228.0,77.0,1409.0,940.0,6.3,71.9,0.6932,3,7
62,2004-03-13,08.00.00,2.7,1336.0,132.0,11.8,1043.0,256.0,935.0,96.0,1678.0,1192.0,6.5,71.6,0.6945,3,8
63,2004-03-13,09.00.00,3.7,1408.0,239.0,15.1,1153.0,295.0,830.0,119.0,1777.0,1411.0,9.6,59.7,0.7124,3,9
64,2004-03-13,10.00.00,3.2,1447.0,160.0,12.9,1081.0,250.0,869.0,126.0,1667.0,1465.0,12.4,51.2,0.7335,3,10
65,2004-03-13,11.00.00,4.1,1542.0,283.0,16.1,1184.0,296.0,808.0,158.0,1780.0,1583.0,15.6,42.2,0.7451,3,11
66,2004-03-13,12.00.00,3.6,1451.0,210.0,14.0,1117.0,239.0,875.0,161.0,1679.0,1387.0,18.4,33.8,0.709,3,12
67,2004-03-13,13.00.00,2.8,1328.0,154.0,12.3,1059.0,153.0,987.0,124.0,1600.0,1101.0,19.4,31.3,0.695,3,13
68,2004-03-13,14.00.00,2.0,1207.0,112.0,8.6,924.0,118.0,1088.0,102.0,1488.0,850.0,18.0,34.8,0.7127,3,14
69,2004-03-13,15.00.00,2.0,1240.0,108.0,9.2,947.0,119.0,1049.0,116.0,1532.0,947.0,18.4,33.6,0.7042,3,15
70,2004-03-13,16.00.00,2.5,1306.0,111.0,10.2,987.0,138.0,1004.0,124.0,1554.0,1078.0,17.6,35.1,0.7012,3,16
71,2004-03-13,17.00.00,2.3,1326.0,97.0,10.6,1000.0,148.0,976.0,125.0,1602.0,1084.0,16.7,37.8,0.7117,3,17
72,2004-03-13,18.00.00,3.2,1473.0,191.0,15.5,1163.0,227.0,831.0,148.0,1779.0,1395.0,16.1,41.0,0.7451,3,18
73,2004-03-13,19.00.00,4.2,1609.0,258.0,19.6,1286.0,277.0,758.0,165.0,1922.0,1612.0,15.8,42.4,0.7569,3,19
74,2004-03-13,20.00.00,4.2,1611.0,284.0,19.2,1274.0,279.0,754.0,161.0,1915.0,1697.0,15.7,44.1,0.7786,3,20
75,2004-03-13,21.00.00,4.2,1621.0,269.0,18.3,1247.0,283.0,762.0,159.0,1860.0,1886.0,15.3,46.8,0.8091,3,21
76,2004-03-13,22.00.00,3.1,1444.0,180.0,13.1,1089.0,214.0,844.0,143.0,1748.0,1624.0,14.6,48.6,0.806,3,22
77,2004-03-13,23.00.00,2.6,1418.0,116.0,10.9,1010.0,172.0,892.0,130.0,1603.0,1536.0,14.7,49.3,0.8193,3,23
78,2004-03-14,00.00.00,2.9,1534.0,93.0,11.0,1013.0,190.0,889.0,129.0,1611.0,1535.0,13.9,53.6,0.8498,3,0
79,2004-03-14,01.00.00,2.8,1484.0,131.0,11.9,1045.0,174.0,880.0,119.0,1624.0,1530.0,14.6,51.5,0.8536,3,1
80,2004-03-14,02.00.00,2.5,1367.0,92.0,8.6,925.0,128.0,953.0,104.0,1543.0,1337.0,12.5,58.9,0.8537,3,2
82,2004-03-14,04.00.00,-200.0,1130.0,56.0,5.2,773.0,70.0,1130.0,82.0,1452.0,1051.0,12.1,61.1,0.8603,3,4
83,2004-03-14,05.00.00,1.2,1062.0,32.0,3.7,691.0,53.0,1272.0,70.0,1377.0,929.0,11.5,63.1,0.8533,3,5
84,2004-03-14,06.00.00,1.0,1076.0,29.0,2.5,618.0,44.0,1395.0,63.0,1333.0,872.0,11.6,62.2,0.8473,3,6
85,2004-03-14,07.00.00,0.9,1028.0,27.0,2.4,615.0,74.0,1384.0,67.0,1340.0,853.0,10.4,67.6,0.853,3,7
86,2004-03-14,08.00.00,1.4,1155.0,36.0,4.2,722.0,101.0,1225.0,84.0,1414.0,959.0,11.6,62.7,0.853,3,8
87,2004-03-14,09.00.00,1.6,1235.0,57.0,6.4,828.0,118.0,1055.0,83.0,1527.0,1093.0,12.4,60.0,0.8627,3,9
88,2004-03-14,10.00.00,2.2,1332.0,129.0,8.6,923.0,144.0,952.0,98.0,1614.0,1225.0,14.5,53.1,0.8728,3,10
89,2004-03-14,11.00.00,2.8,1445.0,148.0,10.9,1009.0,176.0,878.0,114.0,1696.0,1355.0,16.9,46.1,0.8789,3,11
90,2004-03-14,12.00.00,2.8,1416.0,145.0,10.7,1002.0,161.0,907.0,119.0,1677.0,1262.0,19.3,38.3,0.8474,3,12
91,2004-03-14,13.00.00,2.0,1281.0,93.0,7.5,880.0,113.0,1084.0,104.0,1525.0,980.0,21.2,31.4,0.7812,3,13
92,2004-03-14,14.00.00,1.8,1207.0,84.0,7.5,879.0,103.0,1104.0,102.0,1490.0,872.0,21.4,30.2,0.7616,3,14
93,2004-03-14,15.00.00,1.9,1258.0,99.0,8.2,906.0,112.0,1081.0,107.0,1511.0,900.0,21.9,29.0,0.7525,3,15
94,2004-03-14,16.00.00,3.0,1458.0,150.0,11.9,1045.0,170.0,974.0,129.0,1646.0,1099.0,22.2,28.4,0.7516,3,16
95,2004-03-14,17.00.00,2.9,1438.0,156.0,12.0,1051.0,180.0,943.0,128.0,1668.0,1206.0,21.3,30.8,0.7696,3,17
96,2004-03-14,18.00.00,2.5,1478.0,122.0,12.2,1055.0,160.0,929.0,121.0,1671.0,1262.0,19.7,36.7,0.8307,3,18
97,2004-03-14,19.00.00,4.6,1808.0,262.0,20.6,1312.0,261.0,753.0,157.0,1993.0,1698.0,18.4,41.7,0.8732,3,19
98,2004-03-14,20.00.00,5.9,1898.0,341.0,23.1,1381.0,325.0,681.0,173.0,2103.0,1905.0,17.6,46.1,0.921,3,20
99,2004-03-14,21.00.00,3.4,1560.0,214.0,14.7,1140.0,217.0,784.0,146.0,1818.0,1648.0,16.7,49.6,0.932,3,21
100,2004-03-14,22.00.00,2.1,1324.0,100.0,9.0,940.0,146.0,924.0,121.0,1587.0,1423.0,16.3,51.0,0.9341,3,22
101,2004-03-14,23.00.00,2.2,1349.0,79.0,8.8,933.0,152.0,933.0,119.0,1617.0,1349.0,14.7,55.9,0.9314,3,23
102,2004-03-15,00.00.00,1.8,1239.0,66.0,7.4,872.0,104.0,985.0,99.0,1547.0,1250.0,14.8,54.7,0.9164,3,0
103,2004-03-15,01.00.00,1.8,1239.0,73.0,6.9,853.0,106.0,1010.0,93.0,1543.0,1174.0,14.0,57.0,0.9094,3,1
104,2004-03-15,02.00.00,1.8,1224.0,66.0,7.0,855.0,108.0,998.0,88.0,1566.0,1149.0,13.4,61.3,0.9361,3,2
106,2004-03-15,04.00.00,-200.0,1078.0,44.0,4.0,711.0,66.0,1150.0,71.0,1468.0,1013.0,12.3,65.4,0.9351,3,4
107,2004-03-15,05.00.00,1.0,1075.0,39.0,3.9,703.0,88.0,1156.0,74.0,1464.0,1010.0,11.9,67.4,0.9375,3,5
108,2004-03-15,06.00.00,1.4,1157.0,51.0,6.4,830.0,138.0,1030.0,80.0,1584.0,1083.0,11.4,70.5,0.9475,3,6
109,2004-03-15,07.00.00,2.2,1314.0,107.0,9.7,966.0,228.0,897.0,89.0,1710.0,1235.0,11.3,70.2,0.9401,3,7
110,2004-03-15,08.00.00,5.5,1797.0,336.0,25.9,1451.0,360.0,652.0,114.0,2323.0,1680.0,12.4,63.9,0.917,3,8
111,2004-03-15,09.00.00,8.1,1961.0,618.0,36.7,1701.0,478.0,537.0,149.0,2665.0,2184.0,14.8,54.3,0.9076,3,9
112,2004-03-15,10.00.00,5.8,1771.0,438.0,26.6,1470.0,394.0,622.0,157.0,2262.0,1973.0,17.4,45.6,0.8993,3,10
113,2004-03-15,11.00.00,4.2,1564.0,334.0,20.1,1300.0,319.0,710.0,155.0,2029.0,1798.0,19.8,38.5,0.8801,3,11
114,2004-03-15,12.00.00,3.1,1430.0,221.0,14.1,1120.0,201.0,831.0,134.0,1783.0,1522.0,22.0,34.1,0.8904,3,12
115,2004-03-15,13.00.00,2.9,1417.0,207.0,14.9,1146.0,171.0,830.0,119.0,1831.0,1404.0,23.3,32.2,0.9096,3,13
116,2004-03-15,14.00.00,2.9,1400.0,191.0,15.4,1162.0,159.0,838.0,111.0,1829.0,1263.0,23.9,30.0,0.8757,3,14
117,2004-03-15,15.00.00,2.5,1317.0,185.0,12.1,1053.0,153.0,926.0,104.0,1707.0,1137.0,24.4,28.9,0.8736,3,15
118,2004-03-15,16.00.00,2.3,1318.0,141.0,11.5,1033.0,143.0,950.0,99.0,1675.0,1068.0,24.4,29.4,0.8848,3,16
119,2004-03-15,17.00.00,2.8,1445.0,214.0,14.8,1141.0,156.0,857.0,110.0,1824.0,1252.0,23.8,31.3,0.9137,3,17
120,2004-03-15,18.00.00,6.1,1917.0,471.0,32.1,1601.0,314.0,631.0,162.0,2447.0,1843.0,22.5,35.4,0.9547,3,18
121,2004-03-15,19.00.00,8.0,2040.0,685.0,39.2,1754.0,404.0,542.0,187.0,2679.0,2122.0,20.4,42.5,1.0086,3,19
122,2004-03-15,20.00.00,6.5,1895.0,538.0,31.0,1573.0,320.0,565.0,165.0,2443.0,1992.0,18.3,52.6,1.0945,3,20
123,2004-03-15,21.00.00,4.2,1595.0,319.0,19.9,1294.0,256.0,678.0,145.0,2058.0,1707.0,16.7,57.4,1.0786,3,21
124,2004-03-15,22.00.00,3.2,1439.0,224.0,15.3,1159.0,193.0,764.0,125.0,1856.0,1494.0,15.7,60.2,1.0654,3,22
125,2004-03-15,23.00.00,1.4,1142.0,67.0,6.9,852.0,89.0,1008.0,101.0,1547.0,1164.0,15.3,61.4,1.058,3,23
126,2004-03-16,00.00.00,2.1,1304.0,155.0,11.1,1019.0,127.0,852.0,103.0,1731.0,1272.0,14.1,65.7,1.0494,3,0
127,2004-03-16,01.00.00,1.2,1074.0,49.0,5.4,784.0,79.0,1098.0,88.0,1483.0,1040.0,14.8,60.6,1.0148,3,1
128,2004-03-16,02.00.00,0.8,968.0,29.0,2.8,640.0,43.0,1320.0,61.0,1386.0,867.0,14.8,59.2,0.9879,3,2
130,2004-03-16,04.00.00,-200.0,941.0,25.0,2.6,626.0,59.0,1316.0,59.0,1373.0,840.0,12.3,66.2,0.945,3,4
131,2004-03-16,05.00.00,0.6,937.0,17.0,2.0,585.0,38.0,1412.0,52.0,1348.0,793.0,12.8,63.2,0.9283,3,5
132,2004-03-16,06.00.00,0.9,1017.0,27.0,3.5,681.0,82.0,1246.0,64.0,1418.0,870.0,11.2,68.5,0.9081,3,6
133,2004-03-16,07.00.00,1.3,1171.0,50.0,5.1,770.0,99.0,1162.0,70.0,1467.0,930.0,11.0,66.5,0.8705,3,7
134,2004-03-16,08.00.00,3.4,1541.0,218.0,16.2,1185.0,263.0,770.0,97.0,1889.0,1407.0,11.7,63.7,0.8719,3,8
135,2004-03-16,09.00.00,3.7,1539.0,285.0,19.7,1287.0,229.0,698.0,95.0,2055.0,1507.0,13.6,56.3,0.8743,3,9
136,2004-03-16,10.00.00,5.3,1735.0,437.0,25.1,1431.0,396.0,628.0,150.0,2211.0,1843.0,17.8,42.9,0.8672,3,10
137,2004-03-16,11.00.00,4.1,1571.0,327.0,20.0,1297.0,314.0,730.0,162.0,1973.0,1729.0,21.4,33.3,0.8417,3,11
138,2004-03-16,12.00.00,3.3,1452.0,283.0,18.3,1250.0,217.0,776.0,154.0,1868.0,1583.0,24.4,27.4,0.8231,3,12
139,2004-03-16,13.00.00,4.0,1579.0,366.0,22.3,1359.0,252.0,724.0,161.0,1998.0,1671.0,25.3,26.1,0.8264,3,13
140,2004-03-16,14.00.00,3.8,1466.0,318.0,20.4,1309.0,263.0,773.0,161.0,1897.0,1491.0,25.8,23.2,0.7589,3,14
141,2004-03-16,15.00.00,2.8,1280.0,228.0,14.6,1136.0,180.0,893.0,128.0,1675.0,1240.0,27.0,20.2,0.7094,3,15
142,2004-03-16,16.00.00,2.9,1407.0,201.0,16.6,1197.0,184.0,905.0,129.0,1759.0,1313.0,28.2,18.6,0.7014,3,16
143,2004-03-16,17.00.00,2.9,1389.0,199.0,15.8,1173.0,190.0,898.0,133.0,1739.0,1363.0,28.0,19.1,0.7098,3,17
144,2004-03-16,18.00.00,3.4,1447.0,237.0,17.8,1235.0,184.0,859.0,139.0,1778.0,1296.0,23.9,25.7,0.7519,3,18
145,2004-03-16,19.00.00,3.9,1551.0,261.0,19.1,1271.0,181.0,800.0,137.0,1875.0,1432.0,21.3,34.8,0.873,3,19
146,2004-03-16,20.00.00,3.2,1474.0,230.0,15.8,1173.0,166.0,854.0,143.0,1776.0,1432.0,20.4,36.7,0.8704,3,20
147,2004-03-16,21.00.00,5.1,1800.0,349.0,24.9,1426.0,317.0,700.0,177.0,2106.0,2034.0,19.0,41.3,0.9007,3,21
148,2004-03-16,22.00.00,2.6,1379.0,183.0,13.5,1101.0,184.0,818.0,138.0,1710.0,1602.0,17.9,45.9,0.9342,3,22
149,2004-03-16,23.00.00,1.7,1201.0,88.0,9.1,943.0,130.0,935.0,117.0,1560.0,1362.0,16.7,48.9,0.9226,3,23
150,2004-03-17,00.00.00,1.7,1205.0,85.0,8.6,925.0,132.0,922.0,107.0,1547.0,1314.0,15.5,52.9,0.9271,3,0
151,2004-03-17,01.00.00,1.2,1072.0,47.0,5.4,784.0,95.0,1066.0,90.0,1442.0,1114.0,15.5,51.9,0.9059,3,1
152,2004-03-17,02.00.00,0.9,998.0,34.0,4.1,714.0,70.0,1169.0,79.0,1383.0,992.0,14.1,55.6,0.891,3,2
154,2004-03-17,04.00.00,-200.0,883.0,17.0,1.9,577.0,54.0,1396.0,60.0,1303.0,808.0,12.7,57.9,0.8447,3,4
155,2004-03-17,05.00.00,0.5,869.0,11.0,1.6,554.0,28.0,1460.0,40.0,1268.0,667.0,11.8,58.0,0.8026,3,5
156,2004-03-17,06.00.00,0.5,891.0,18.0,1.9,576.0,46.0,1417.0,53.0,1289.0,733.0,11.9,57.4,0.7978,3,6
157,2004-03-17,07.00.00,1.6,1173.0,84.0,7.5,878.0,160.0,1038.0,84.0,1556.0,1052.0,9.9,65.2,0.7956,3,7
158,2004-03-17,08.00.00,4.1,1587.0,260.0,21.4,1334.0,320.0,702.0,108.0,1999.0,1534.0,11.1,60.2,0.7958,3,8
159,2004-03-17,09.00.00,6.6,1852.0,534.0,36.4,1696.0,377.0,553.0,127.0,2535.0,1931.0,14.1,50.0,0.802,3,9
160,2004-03-17,10.00.00,4.3,1522.0,368.0,21.3,1331.0,280.0,703.0,134.0,2026.0,1734.0,17.7,40.1,0.8048,3,10
161,2004-03-17,11.00.00,2.9,1438.0,200.0,15.4,1161.0,221.0,819.0,135.0,1782.0,1595.0,21.1,33.4,0.8265,3,11
162,2004-03-17,12.00.00,2.5,1393.0,145.0,12.5,1067.0,210.0,905.0,142.0,1654.0,1490.0,24.3,28.3,0.8471,3,12
163,2004-03-17,13.00.00,2.8,1452.0,188.0,15.1,1152.0,204.0,861.0,153.0,1747.0,1508.0,25.6,25.6,0.8254,3,13
164,2004-03-17,14.00.00,2.6,1389.0,152.0,13.7,1108.0,161.0,887.0,123.0,1712.0,1334.0,25.9,25.9,0.8503,3,14
165,2004-03-17,15.00.00,2.0,1207.0,103.0,10.4,994.0,135.0,1013.0,104.0,1520.0,1045.0,26.8,18.7,0.65,3,15
166,2004-03-17,16.00.00,2.9,1365.0,193.0,15.2,1154.0,186.0,940.0,129.0,1679.0,1221.0,29.3,15.8,0.6309,3,16
167,2004-03-17,17.00.00,2.5,1247.0,134.0,12.3,1060.0,147.0,1032.0,114.0,1525.0,1069.0,28.5,14.9,0.5708,3,17
168,2004-03-17,18.00.00,5.0,1557.0,386.0,27.0,1478.0,299.0,793.0,158.0,1981.0,1569.0,25.9,16.0,0.5237,3,18
169,2004-03-17,19.00.00,7.6,1973.0,577.0,38.4,1737.0,411.0,617.0,194.0,2414.0,2306.0,23.1,26.5,0.7403,3,19
170,2004-03-17,20.00.00,6.7,1975.0,523.0,35.1,1667.0,347.0,597.0,182.0,2416.0,2359.0,20.5,38.2,0.9133,3,20
171,2004-03-17,21.00.00,5.7,1795.0,472.0,27.2,1485.0,336.0,653.0,180.0,2174.0,2050.0,19.1,42.6,0.9294,3,21
172,2004-03-17,22.00.00,2.8,1444.0,206.0,15.0,1150.0,202.0,770.0,136.0,1727.0,1727.0,17.2,44.1,0.8558,3,22
173,2004-03-17,23.00.00,2.6,1488.0,216.0,15.7,1171.0,178.0,731.0,127.0,1778.0,1705.0,16.0,50.9,0.9206,3,23
174,2004-03-18,00.00.00,2.3,1371.0,159.0,13.0,1083.0,154.0,796.0,116.0,1669.0,1551.0,14.8,53.9,0.9024,3,0
175,2004-03-18,01.00.00,1.4,1161.0,70.0,8.1,904.0,92.0,947.0,107.0,1502.0,1240.0,14.3,55.4,0.8975,3,1
176,2004-03-18,02.00.00,1.0,1064.0,44.0,5.5,787.0,61.0,1057.0,88.0,1407.0,1115.0,14.8,52.1,0.8686,3,2
