,DATE,TIME,CO_GT,PT08_S1_CO,NMHC_GT,C6H6_GT,PT08_S2_NMHC,NOX_GT,PT08_S3_NOX,NO2_GT,PT08_S4_NO2,PT08_S5_O3,T,RH,AH,MONTH,HOUR
178,2004-03-18,04.00.00,-200.0,954.0,28.0,2.9,645.0,60.0,1260.0,78.0,1334.0,925.0,11.6,61.9,0.8442,3,4
179,2004-03-18,05.00.00,0.6,931.0,20.0,2.5,623.0,37.0,1293.0,57.0,1307.0,828.0,12.0,58.9,0.8233,3,5
180,2004-03-18,06.00.00,0.7,938.0,26.0,3.0,650.0,68.0,1251.0,71.0,1333.0,893.0,10.9,62.1,0.8113,3,6
181,2004-03-18,07.00.00,1.5,1166.0,78.0,7.7,885.0,139.0,1005.0,85.0,1551.0,1075.0,10.6,63.3,0.8067,3,7
182,2004-03-18,08.00.00,4.7,1643.0,319.0,23.3,1384.0,339.0,667.0,124.0,2094.0,1610.0,11.5,60.0,0.8117,3,8
183,2004-03-18,09.00.00,6.6,1934.0,506.0,35.8,1682.0,421.0,541.0,151.0,2468.0,2051.0,14.3,50.6,0.8186,3,9
286,2004-03-22,16.00.00,2.3,1076.0,451.0,11.6,1034.0,150.0,964.0,101.0,1544.0,813.0,21.3,24.2,0.606,3,16
287,2004-03-22,17.00.00,2.6,1152.0,185.0,12.4,1062.0,138.0,928.0,103.0,1606.0,850.0,20.2,28.5,0.6682,3,17
288,2004-03-22,18.00.00,3.8,1407.0,426.0,18.3,1249.0,213.0,720.0,129.0,1932.0,1276.0,17.0,43.1,0.8264,3,18
289,2004-03-22,19.00.00,4.4,1438.0,672.0,21.0,1325.0,232.0,678.0,143.0,1993.0,1401.0,15.6,47.4,0.8347,3,19
290,2004-03-22,20.00.00,4.5,1425.0,624.0,21.0,1325.0,238.0,678.0,146.0,1965.0,1356.0,15.3,47.4,0.8178,3,20
291,2004-03-22,21.00.00,3.3,1279.0,325.0,14.5,1131.0,180.0,775.0,124.0,1758.0,1243.0,14.5,49.7,0.8177,3,21
292,2004-03-22,22.00.00,2.0,1132.0,143.0,8.4,916.0,128.0,920.0,113.0,1561.0,1083.0,13.9,52.0,0.8231,3,22
293,2004-03-22,23.00.00,1.1,1006.0,89.0,4.3,729.0,65.0,1142.0,80.0,1370.0,795.0,14.5,49.4,0.8106,3,23
294,2004-03-23,00.00.00,0.9,982.0,73.0,3.8,700.0,53.0,1204.0,72.0,1359.0,735.0,13.8,51.4,0.8071,3,0
295,2004-03-23,01.00.00,0.8,969.0,48.0,2.7,636.0,47.0,1271.0,64.0,1309.0,684.0,14.0,51.3,0.8163,3,1
296,2004-03-23,02.00.00,0.7,941.0,47.0,2.5,621.0,51.0,1298.0,70.0,1330.0,714.0,13.0,56.8,0.8444,3,2
298,2004-03-23,04.00.00,-200.0,855.0,25.0,0.8,478.0,20.0,1701.0,31.0,1261.0,401.0,10.1,76.8,0.9483,3,4
299,2004-03-23,05.00.00,0.3,834.0,19.0,0.6,459.0,13.0,1908.0,22.0,1212.0,361.0,8.8,80.5,0.9147,3,5
300,2004-03-23,06.00.00,0.5,909.0,26.0,1.8,567.0,33.0,1542.0,47.0,1287.0,418.0,9.6,75.4,0.9004,3,6
301,2004-03-23,07.00.00,1.1,1061.0,60.0,4.6,745.0,103.0,1178.0,88.0,1429.0,616.0,9.8,75.0,0.9093,3,7
302,2004-03-23,08.00.00,3.0,1441.0,248.0,14.2,1124.0,224.0,851.0,130.0,1829.0,1089.0,10.0,74.2,0.9117,3,8
303,2004-03-23,09.00.00,3.8,1498.0,535.0,21.0,1325.0,244.0,684.0,132.0,2095.0,1329.0,11.2,69.7,0.9232,3,9
304,2004-03-23,10.00.00,3.4,1343.0,340.0,16.2,1185.0,237.0,760.0,132.0,1857.0,1311.0,12.0,62.9,0.8803,3,10
305,2004-03-23,11.00.00,3.0,1308.0,325.0,15.5,1166.0,220.0,792.0,131.0,1794.0,1236.0,12.8,55.8,0.821,3,11
306,2004-03-23,12.00.00,2.7,1209.0,267.0,13.4,1097.0,207.0,837.0,129.0,1746.0,1147.0,13.1,54.8,0.8234,3,12
307,2004-03-23,13.00.00,3.5,1310.0,325.0,16.9,1207.0,208.0,770.0,132.0,1847.0,1301.0,13.8,53.4,0.8351,3,13
308,2004-03-23,14.00.00,2.8,1171.0,268.0,12.4,1064.0,160.0,881.0,110.0,1639.0,1097.0,16.0,42.4,0.7674,3,14
309,2004-03-23,15.00.00,1.9,1112.0,136.0,10.1,980.0,131.0,924.0,99.0,1589.0,900.0,14.1,49.8,0.7971,3,15
310,2004-03-23,16.00.00,2.0,1132.0,118.0,8.7,927.0,128.0,944.0,100.0,1570.0,781.0,12.0,61.1,0.8537,3,16
311,2004-03-23,17.00.00,3.0,1225.0,276.0,13.8,1111.0,176.0,818.0,122.0,1719.0,1013.0,13.6,54.6,0.8465,3,17
312,2004-03-23,18.00.00,1.9,1065.0,151.0,9.3,953.0,107.0,962.0,97.0,1514.0,790.0,13.7,49.5,0.7695,3,18
313,2004-03-23,19.00.00,2.7,1236.0,236.0,13.0,1084.0,131.0,854.0,112.0,1688.0,1059.0,11.7,57.1,0.7822,3,19
314,2004-03-23,20.00.00,3.3,1309.0,220.0,14.3,1126.0,166.0,812.0,128.0,1722.0,1205.0,11.5,58.2,0.7867,3,20
315,2004-03-23,21.00.00,1.7,1089.0,87.0,7.6,884.0,89.0,1006.0,101.0,1487.0,975.0,12.6,54.2,0.7881,3,21
316,2004-03-23,22.00.00,1.3,1000.0,81.0,5.3,776.0,81.0,1141.0,96.0,1375.0,896.0,12.0,54.9,0.7664,3,22
317,2004-03-23,23.00.00,1.3,1041.0,74.0,5.4,782.0,78.0,1105.0,86.0,1425.0,911.0,11.0,61.4,0.8057,3,23
318,2004-03-24,00.00.00,1.2,1045.0,55.0,4.9,756.0,70.0,1137.0,85.0,1411.0,902.0,11.1,62.2,0.8199,3,0
319,2004-03-24,01.00.00,1.1,997.0,74.0,4.6,744.0,76.0,1151.0,79.0,1405.0,832.0,10.8,62.5,0.8082,3,1
320,2004-03-24,02.00.00,0.9,948.0,35.0,2.7,634.0,43.0,1320.0,61.0,1326.0,715.0,11.3,60.0,0.8025,3,2
322,2004-03-24,04.00.00,-200.0,908.0,29.0,1.7,559.0,44.0,1477.0,66.0,1287.0,721.0,10.2,62.7,0.7813,3,4
323,2004-03-24,05.00.00,0.6,892.0,20.0,1.2,522.0,34.0,1572.0,54.0,1255.0,648.0,10.9,58.6,0.7628,3,5
324,2004-03-24,06.00.00,0.8,954.0,32.0,1.7,561.0,43.0,1496.0,57.0,1255.0,612.0,10.8,57.2,0.7382,3,6
325,2004-03-24,07.00.00,1.2,1045.0,84.0,4.8,751.0,79.0,1186.0,75.0,1403.0,800.0,10.4,59.2,0.7455,3,7
326,2004-03-24,08.00.00,3.1,1383.0,245.0,13.8,1109.0,174.0,832.0,97.0,1706.0,1173.0,11.0,57.3,0.7501,3,8
327,2004-03-24,09.00.00,4.4,1597.0,553.0,23.7,1395.0,235.0,652.0,110.0,2080.0,1519.0,11.2,56.9,0.7565,3,9
328,2004-03-24,10.00.00,3.4,1318.0,450.0,14.2,1124.0,218.0,762.0,113.0,1770.0,1287.0,12.1,54.9,0.7734,3,10
329,2004-03-24,11.00.00,1.7,1138.0,118.0,8.0,898.0,136.0,950.0,88.0,1505.0,966.0,15.1,44.3,0.7535,3,11
330,2004-03-24,12.00.00,1.5,1098.0,118.0,6.7,842.0,117.0,1012.0,85.0,1440.0,828.0,15.6,40.6,0.7146,3,12
331,2004-03-24,13.00.00,1.7,1118.0,144.0,8.7,927.0,119.0,959.0,96.0,1477.0,825.0,16.9,34.6,0.6597,3,13
332,2004-03-24,14.00.00,2.2,1170.0,159.0,10.8,1009.0,126.0,879.0,106.0,1566.0,872.0,16.6,35.6,0.6697,3,14
333,2004-03-24,15.00.00,-200.0,1112.0,122.0,6.7,842.0,100.0,1015.0,91.0,1494.0,680.0,11.3,63.9,0.8554,3,15
334,2004-03-24,16.00.00,2.7,1390.0,230.0,11.4,1028.0,197.0,829.0,126.0,1730.0,1002.0,9.6,81.1,0.972,3,16
335,2004-03-24,17.00.00,2.8,1353.0,320.0,13.4,1096.0,195.0,774.0,130.0,1783.0,1159.0,11.7,69.1,0.9497,3,17
336,2004-03-24,18.00.00,2.7,1260.0,263.0,12.0,1050.0,156.0,828.0,111.0,1722.0,979.0,10.7,68.5,0.8794,3,18
337,2004-03-24,19.00.00,4.5,1501.0,556.0,20.2,1302.0,247.0,681.0,134.0,2008.0,1311.0,10.7,67.3,0.8643,3,19
338,2004-03-24,20.00.00,3.5,1273.0,458.0,14.4,1130.0,190.0,795.0,136.0,1744.0,1071.0,10.8,65.7,0.8486,3,20
339,2004-03-24,21.00.00,2.6,1179.0,214.0,9.4,955.0,169.0,928.0,125.0,1571.0,899.0,10.3,66.3,0.8336,3,21
340,2004-03-24,22.00.00,1.7,1047.0,97.0,5.9,809.0,118.0,1064.0,108.0,1435.0,766.0,10.1,66.9,0.8248,3,22
341,2004-03-24,23.00.00,1.3,973.0,79.0,4.5,739.0,81.0,1186.0,87.0,1354.0,589.0,10.4,61.1,0.7717,3,23
342,2004-03-25,00.00.00,1.3,997.0,81.0,4.5,737.0,80.0,1168.0,89.0,1341.0,631.0,10.3,59.9,0.7516,3,0
343,2004-03-25,01.00.00,1.0,970.0,52.0,2.5,621.0,42.0,1400.0,58.0,1249.0,479.0,11.0,58.4,0.7686,3,1
344,2004-03-25,02.00.00,0.7,902.0,38.0,1.8,568.0,38.0,1450.0,54.0,1253.0,479.0,9.1,68.1,0.789,3,2
346,2004-03-25,04.00.00,0.5,858.0,29.0,0.9,490.0,18.0,1707.0,28.0,1212.0,378.0,9.3,72.3,0.8496,3,4
347,2004-03-25,05.00.00,0.5,878.0,21.0,0.6,457.0,12.0,1935.0,20.0,1158.0,344.0,9.9,66.8,0.8152,3,5
348,2004-03-25,06.00.00,0.6,893.0,46.0,1.4,540.0,43.0,1604.0,51.0,1268.0,413.0,7.6,83.2,0.8695,3,6
349,2004-03-25,07.00.00,1.1,1038.0,55.0,3.8,697.0,84.0,1260.0,82.0,1383.0,605.0,8.1,79.0,0.8544,3,7
350,2004-03-25,08.00.00,2.7,1320.0,271.0,11.6,1035.0,184.0,902.0,112.0,1721.0,991.0,8.7,74.6,0.8429,3,8
351,2004-03-25,09.00.00,3.5,1353.0,434.0,17.8,1235.0,202.0,740.0,119.0,1937.0,1175.0,8.6,75.1,0.8415,3,9
352,2004-03-25,10.00.00,2.3,1133.0,300.0,8.8,933.0,133.0,969.0,99.0,1552.0,923.0,9.7,69.7,0.8389,3,10
353,2004-03-25,11.00.00,1.6,1066.0,116.0,6.8,849.0,130.0,1039.0,98.0,1468.0,829.0,11.0,64.4,0.8447,3,11
354,2004-03-25,12.00.00,1.3,1027.0,95.0,5.9,809.0,106.0,1081.0,88.0,1442.0,733.0,13.6,53.0,0.8209,3,12
355,2004-03-25,13.00.00,2.0,1106.0,211.0,8.9,935.0,132.0,958.0,96.0,1570.0,819.0,14.2,48.4,0.778,3,13
356,2004-03-25,14.00.00,1.9,1038.0,168.0,8.2,907.0,106.0,976.0,81.0,1492.0,723.0,14.2,46.3,0.7438,3,14
357,2004-03-25,15.00.00,1.9,1084.0,154.0,8.6,924.0,125.0,986.0,92.0,1501.0,786.0,16.0,41.3,0.7462,3,15
358,2004-03-25,16.00.00,2.2,1105.0,267.0,10.1,982.0,138.0,939.0,105.0,1545.0,850.0,17.7,35.4,0.7094,3,16
359,2004-03-25,17.00.00,2.0,1102.0,143.0,9.4,957.0,120.0,968.0,88.0,1527.0,820.0,17.1,37.4,0.7225,3,17
360,2004-03-25,18.00.00,2.9,1240.0,374.0,14.6,1137.0,158.0,836.0,103.0,1748.0,991.0,14.9,40.5,0.6835,3,18
361,2004-03-25,19.00.00,5.2,1443.0,797.0,24.6,1418.0,253.0,666.0,141.0,2060.0,1454.0,13.4,47.8,0.7293,3,19
362,2004-03-25,20.00.00,4.6,1389.0,698.0,21.6,1341.0,231.0,692.0,133.0,1982.0,1488.0,12.6,52.5,0.7642,3,20
363,2004-03-25,21.00.00,2.5,1183.0,234.0,10.3,989.0,150.0,904.0,119.0,1539.0,1205.0,12.2,53.2,0.7555,3,21
364,2004-03-25,22.00.00,1.5,1014.0,104.0,5.7,798.0,99.0,1083.0,106.0,1376.0,909.0,10.6,56.1,0.714,3,22
365,2004-03-25,23.00.00,1.2,979.0,67.0,4.5,736.0,75.0,1154.0,92.0,1324.0,769.0,9.9,59.5,0.7276,3,23
366,2004-03-26,00.00.00,1.7,1048.0,88.0,5.5,787.0,93.0,1098.0,97.0,1373.0,835.0,9.6,61.1,0.7323,3,0
367,2004-03-26,01.00.00,1.4,1024.0,79.0,4.8,753.0,79.0,1131.0,91.0,1357.0,793.0,9.7,61.6,0.7425,3,1
368,2004-03-26,02.00.00,1.2,974.0,61.0,3.6,690.0,67.0,1208.0,83.0,1313.0,733.0,9.4,62.6,0.7398,3,2
370,2004-03-26,04.00.00,0.7,925.0,40.0,2.2,602.0,45.0,1398.0,59.0,1263.0,562.0,8.0,69.4,0.7459,3,4
371,2004-03-26,05.00.00,0.8,952.0,52.0,3.0,654.0,72.0,1210.0,73.0,1312.0,832.0,7.7,72.4,0.7655,3,5
372,2004-03-26,06.00.00,0.9,1005.0,64.0,4.0,713.0,103.0,1130.0,78.0,1363.0,924.0,8.0,71.8,0.7711,3,6
373,2004-03-26,07.00.00,1.6,1122.0,88.0,6.7,842.0,132.0,1015.0,90.0,1438.0,974.0,8.5,66.3,0.7375,3,7
374,2004-03-26,08.00.00,3.4,1351.0,375.0,16.7,1201.0,239.0,783.0,110.0,1828.0,1307.0,9.8,59.6,0.7214,3,8
375,2004-03-26,09.00.00,3.8,1408.0,592.0,19.3,1278.0,275.0,682.0,114.0,1928.0,1481.0,11.2,57.0,0.7544,3,9
376,2004-03-26,10.00.00,3.1,1304.0,357.0,14.8,1142.0,232.0,772.0,119.0,1747.0,1405.0,14.8,44.1,0.7407,3,10
377,2004-03-26,11.00.00,2.7,1207.0,296.0,13.4,1098.0,180.0,826.0,121.0,1664.0,1195.0,16.8,35.3,0.6729,3,11
378,2004-03-26,12.00.00,2.0,1099.0,181.0,11.0,1014.0,112.0,948.0,97.0,1503.0,868.0,19.2,27.1,0.5976,3,12
379,2004-03-26,13.00.00,2.3,1106.0,211.0,12.5,1068.0,116.0,915.0,99.0,1535.0,874.0,19.1,26.2,0.5741,3,13
380,2004-03-26,14.00.00,1.9,1009.0,199.0,8.4,916.0,103.0,1015.0,85.0,1391.0,738.0,16.3,30.8,0.5683,3,14
381,2004-03-26,15.00.00,1.3,962.0,81.0,5.3,776.0,89.0,1152.0,75.0,1279.0,550.0,14.2,36.8,0.5922,3,15
382,2004-03-26,16.00.00,1.9,1093.0,143.0,8.8,933.0,112.0,976.0,87.0,1454.0,777.0,13.4,41.0,0.6292,3,16
383,2004-03-26,17.00.00,2.3,1180.0,247.0,11.2,1023.0,127.0,886.0,102.0,1588.0,966.0,14.2,43.3,0.6982,3,17
384,2004-03-26,18.00.00,2.4,1168.0,239.0,11.6,1037.0,125.0,868.0,105.0,1580.0,990.0,12.1,45.6,0.6403,3,18
385,2004-03-26,19.00.00,2.7,1168.0,267.0,12.4,1063.0,120.0,876.0,98.0,1540.0,944.0,10.4,48.0,0.6046,3,19
386,2004-03-26,20.00.00,2.6,1140.0,261.0,10.6,1000.0,120.0,916.0,93.0,1490.0,962.0,10.0,51.1,0.628,3,20
387,2004-03-26,21.00.00,1.5,1001.0,97.0,6.0,811.0,99.0,1097.0,91.0,1308.0,778.0,9.8,50.8,0.6172,3,21
388,2004-03-26,22.00.00,1.2,953.0,66.0,4.6,743.0,79.0,1185.0,85.0,1252.0,690.0,9.7,50.4,0.6063,3,22
389,2004-03-26,23.00.00,1.1,972.0,60.0,4.1,715.0,66.0,1237.0,74.0,1258.0,644.0,9.9,50.2,0.6103,3,23
390,2004-03-27,00.00.00,1.5,1021.0,77.0,5.2,776.0,94.0,1144.0,87.0,1307.0,753.0,9.4,53.4,0.63,3,0
391,2004-03-27,01.00.00,1.0,940.0,57.0,3.2,664.0,70.0,1290.0,79.0,1232.0,646.0,8.6,57.8,0.6488,3,1
392,2004-03-27,02.00.00,1.2,1046.0,65.0,4.5,736.0,75.0,1142.0,78.0,1312.0,838.0,8.1,62.1,0.6746,3,2
394,2004-03-27,04.00.00,-200.0,983.0,48.0,3.8,698.0,57.0,1209.0,63.0,1296.0,801.0,7.4,64.8,0.6683,3,4
395,2004-03-27,05.00.00,0.8,915.0,27.0,1.9,578.0,32.0,1417.0,48.0,1212.0,665.0,8.2,58.9,0.6444,3,5
396,2004-03-27,06.00.00,0.9,935.0,25.0,2.4,615.0,54.0,1373.0,59.0,1250.0,717.0,6.3,66.6,0.641,3,6
397,2004-03-27,07.00.00,1.1,976.0,42.0,3.3,669.0,68.0,1270.0,65.0,1266.0,795.0,7.2,62.9,0.6396,3,7
398,2004-03-27,08.00.00,1.5,1124.0,78.0,6.7,842.0,98.0,1050.0,71.0,1418.0,936.0,7.2,63.9,0.65,3,8
399,2004-03-27,09.00.00,1.8,1163.0,128.0,8.5,919.0,128.0,922.0,84.0,1530.0,1076.0,11.1,50.5,0.6654,3,9
400,2004-03-27,10.00.00,2.1,1167.0,184.0,9.7,966.0,129.0,942.0,93.0,1520.0,1016.0,15.5,36.1,0.6313,3,10
401,2004-03-27,11.00.00,2.1,1121.0,156.0,9.4,955.0,130.0,992.0,99.0,1451.0,834.0,17.8,29.2,0.592,3,11
402,2004-03-27,12.00.00,1.9,1071.0,176.0,9.0,940.0,111.0,994.0,93.0,1449.0,756.0,17.6,30.1,0.6013,3,12
403,2004-03-27,13.00.00,2.1,1065.0,232.0,10.0,979.0,106.0,950.0,96.0,1467.0,766.0,19.1,26.8,0.5861,3,13
404,2004-03-27,14.00.00,2.5,1157.0,305.0,12.6,1072.0,137.0,888.0,114.0,1596.0,905.0,17.7,28.6,0.5735,3,14
405,2004-03-27,15.00.00,1.9,1046.0,150.0,7.6,883.0,113.0,1051.0,101.0,1357.0,765.0,17.8,28.4,0.5737,3,15
406,2004-03-27,16.00.00,2.2,1147.0,188.0,11.8,1042.0,122.0,934.0,108.0,1538.0,830.0,18.7,26.0,0.5555,3,16
407,2004-03-27,17.00.00,2.3,1119.0,221.0,11.2,1022.0,137.0,916.0,117.0,1508.0,853.0,17.1,31.3,0.6038,3,17
408,2004-03-27,18.00.00,2.7,1210.0,219.0,12.4,1062.0,165.0,886.0,125.0,1586.0,981.0,15.8,36.1,0.644,3,18
409,2004-03-27,19.00.00,3.0,1306.0,306.0,12.9,1079.0,196.0,827.0,133.0,1621.0,1286.0,14.7,40.1,0.6657,3,19
410,2004-03-27,20.00.00,2.8,1258.0,270.0,12.2,1057.0,174.0,841.0,119.0,1633.0,1244.0,13.6,44.9,0.6991,3,20
411,2004-03-27,21.00.00,2.2,1148.0,231.0,8.8,930.0,140.0,948.0,107.0,1475.0,1056.0,12.5,48.1,0.6946,3,21
412,2004-03-27,22.00.00,1.6,1108.0,125.0,6.8,848.0,102.0,1023.0,96.0,1421.0,1003.0,11.8,50.8,0.7042,3,22
413,2004-03-27,23.00.00,2.1,1231.0,122.0,8.6,924.0,130.0,906.0,105.0,1483.0,1245.0,10.9,56.1,0.7326,3,23
414,2004-03-28,00.00.00,2.3,1293.0,161.0,8.9,937.0,121.0,930.0,102.0,1464.0,1200.0,10.9,55.9,0.7277,3,0
415,2004-03-28,01.00.00,2.3,1274.0,101.0,8.3,912.0,111.0,939.0,97.0,1451.0,1188.0,10.3,58.1,0.7278,3,1
416,2004-03-28,02.00.00,1.7,1135.0,95.0,6.3,827.0,87.0,1013.0,79.0,1395.0,1070.0,9.3,62.2,0.7294,3,2
418,2004-03-28,04.00.00,1.3,1010.0,96.0,5.1,769.0,77.0,1110.0,69.0,1396.0,895.0,8.3,64.9,0.7124,3,4
419,2004-03-28,05.00.00,0.8,870.0,54.0,2.6,626.0,39.0,1325.0,52.0,1284.0,755.0,9.6,58.5,0.7,3,5
420,2004-03-28,06.00.00,1.1,983.0,63.0,3.6,688.0,77.0,1251.0,62.0,1342.0,806.0,7.7,66.4,0.699,3,6
421,2004-03-28,07.00.00,1.4,995.0,72.0,3.6,691.0,91.0,1219.0,69.0,1321.0,836.0,7.4,68.0,0.7043,3,7
422,2004-03-28,08.00.00,1.3,1024.0,91.0,4.7,747.0,105.0,1136.0,75.0,1382.0,897.0,9.7,58.6,0.7035,3,8
423,2004-03-28,09.00.00,1.9,1163.0,127.0,7.5,880.0,133.0,959.0,83.0,1486.0,1073.0,12.5,50.1,0.7242,3,9
424,2004-03-28,10.00.00,2.3,1218.0,193.0,9.0,938.0,128.0,918.0,94.0,1501.0,1088.0,16.8,36.9,0.7018,3,10
425,2004-03-28,11.00.00,2.3,1210.0,188.0,9.5,958.0,126.0,933.0,96.0,1514.0,1036.0,19.2,31.3,0.6887,3,11
426,2004-03-28,12.00.00,1.8,1114.0,151.0,7.7,887.0,92.0,1020.0,86.0,1438.0,768.0,21.3,26.4,0.6607,3,12
427,2004-03-28,13.00.00,1.4,995.0,103.0,5.7,796.0,66.0,1159.0,72.0,1287.0,587.0,21.2,23.1,0.5768,3,13
428,2004-03-28,14.00.00,1.0,927.0,55.0,3.8,700.0,50.0,1285.0,53.0,1189.0,452.0,18.6,25.0,0.5319,3,14
429,2004-03-28,15.00.00,1.4,1002.0,104.0,4.8,754.0,70.0,1189.0,65.0,1260.0,470.0,18.0,27.3,0.5594,3,15
430,2004-03-28,16.00.00,1.3,987.0,116.0,4.3,727.0,73.0,1213.0,70.0,1244.0,502.0,18.2,28.3,0.5848,3,16
431,2004-03-28,17.00.00,1.3,993.0,93.0,4.1,714.0,77.0,1217.0,75.0,1238.0,516.0,17.0,31.4,0.6048,3,17
432,2004-03-28,18.00.00,1.4,1012.0,93.0,4.7,746.0,86.0,1174.0,86.0,1301.0,555.0,15.6,35.0,0.617,3,18
433,2004-03-28,19.00.00,1.9,1114.0,155.0,6.2,823.0,93.0,1068.0,94.0,1357.0,671.0,14.1,40.2,0.6438,3,19
434,2004-03-28,20.00.00,1.8,1093.0,115.0,5.5,789.0,105.0,1102.0,103.0,1329.0,788.0,13.4,43.2,0.6623,3,20
435,2004-03-28,21.00.00,1.1,968.0,75.0,3.3,669.0,67.0,1261.0,81.0,1246.0,538.0,12.3,46.8,0.6686,3,21
436,2004-03-28,22.00.00,1.1,960.0,65.0,3.2,666.0,63.0,1266.0,80.0,1224.0,544.0,11.9,46.5,0.6449,3,22
437,2004-03-28,23.00.00,1.1,942.0,57.0,2.9,648.0,63.0,1300.0,77.0,1204.0,500.0,11.5,46.6,0.6319,3,23
438,2004-03-29,00.00.00,0.9,888.0,40.0,2.2,598.0,46.0,1396.0,58.0,1156.0,417.0,10.6,48.0,0.6135,3,0
439,2004-03-29,01.00.00,0.6,818.0,27.0,1.3,524.0,21.0,1588.0,31.0,1071.0,341.0,10.7,45.8,0.5895,3,1
440,2004-03-29,02.00.00,0.5,840.0,23.0,1.1,509.0,22.0,1643.0,38.0,1076.0,352.0,10.4,46.6,0.5901,3,2
442,2004-03-29,04.00.00,0.6,864.0,21.0,1.2,516.0,39.0,1496.0,59.0,1153.0,502.0,11.3,46.9,0.628,3,4
443,2004-03-29,05.00.00,0.7,898.0,33.0,1.7,559.0,55.0,1441.0,70.0,1180.0,648.0,10.1,51.2,0.6341,3,5
444,2004-03-29,06.00.00,0.9,946.0,40.0,2.9,643.0,76.0,1309.0,75.0,1232.0,760.0,9.9,50.7,0.6167,3,6
445,2004-03-29,07.00.00,2.9,1309.0,279.0,14.3,1125.0,181.0,844.0,103.0,1687.0,1183.0,8.1,56.8,0.615,3,7
446,2004-03-29,08.00.00,4.1,1326.0,743.0,19.7,1289.0,259.0,714.0,134.0,1806.0,1431.0,10.9,44.1,0.5748,3,8
447,2004-03-29,09.00.00,1.5,966.0,147.0,5.5,786.0,118.0,1111.0,98.0,1258.0,705.0,11.8,37.6,0.5184,3,9
448,2004-03-29,10.00.00,1.5,975.0,97.0,5.6,793.0,119.0,1133.0,97.0,1254.0,637.0,13.9,33.2,0.5222,3,10
449,2004-03-29,11.00.00,1.5,988.0,118.0,5.8,803.0,123.0,1105.0,98.0,1293.0,658.0,15.6,30.1,0.5285,3,11
450,2004-03-29,12.00.00,1.4,971.0,91.0,5.5,786.0,92.0,1129.0,78.0,1272.0,546.0,16.5,29.0,0.5406,3,12
451,2004-03-29,13.00.00,1.6,1010.0,146.0,6.5,833.0,91.0,1070.0,83.0,1332.0,561.0,17.5,27.9,0.5517,3,13
452,2004-03-29,14.00.00,1.5,984.0,139.0,5.5,790.0,103.0,1131.0,92.0,1268.0,532.0,17.9,26.8,0.5446,3,14
453,2004-03-29,15.00.00,1.4,962.0,155.0,5.2,776.0,102.0,1131.0,81.0,1247.0,535.0,18.2,26.1,0.5387,3,15
454,2004-03-29,16.00.00,1.5,1012.0,128.0,5.8,801.0,94.0,1098.0,90.0,1289.0,525.0,18.0,27.1,0.5522,3,16
455,2004-03-29,17.00.00,1.9,1058.0,166.0,7.9,896.0,98.0,996.0,95.0,1358.0,603.0,17.0,28.9,0.5558,3,17
456,2004-03-29,18.00.00,2.5,1173.0,299.0,10.2,985.0,126.0,905.0,114.0,1477.0,802.0,16.1,31.3,0.568,3,18
457,2004-03-29,19.00.00,2.1,1127.0,163.0,8.2,907.0,108.0,957.0,106.0,1404.0,796.0,14.5,35.4,0.5839,3,19
458,2004-03-29,20.00.00,1.6,1020.0,154.0,5.7,797.0,95.0,1066.0,99.0,1302.0,689.0,13.2,37.9,0.5733,3,20
